Componente_1,Componente_2,KMeans_Cluster,DBSCAN_Cluster,Target_Original,Fuzzy_Cluster,Hierarchical_Cluster
-7.3874423368783475,2.8190125042118725,0,0,1,2,1
-0.1832360641420241,1.639971061234936,2,0,6,1,2
4.932033164420448,-0.5633517924159657,2,0,6,1,0
9.813807896135536,0.7638901002933731,1,0,2,0,0
-5.39808149904634,-0.2623563293571824,0,0,2,2,1
4.754876143641841,1.8432902090574523,2,0,1,1,0
1.6421098363188094,3.0638106411394213,2,0,1,1,2
-7.260560985593408,0.0183082117952704,0,0,6,2,1
-7.397774055966794,0.938396721710475,0,0,1,2,1
4.664170392123793,0.5303295048484999,2,0,6,1,0
-7.244716043493393,-0.9375606333490638,0,0,2,2,1
-4.347299734667547,1.2046246622983814,0,0,2,2,1
-7.394628828993889,2.424791898101463,0,0,1,2,1
-7.305745576843277,2.9722046499473813,0,0,3,2,1
-3.3707278610738185,0.8935222108336851,0,0,8,2,1
-7.369098737756083,-2.68304248356784,0,0,5,2,1
-7.424409172914191,-1.506415566467414,0,0,4,2,1
-3.171288990943214,-1.747336703376431,0,0,4,2,1
-7.347919441541706,0.139334269265519,0,0,8,2,1
-7.415352595208077,-0.3585219818856586,0,0,6,2,1
-3.198246136395605,-1.5016878637368158,0,0,4,2,1
-1.9042661976746675,3.0180464135948566,2,0,6,1,2
-4.153857147859689,-2.4279872164592864,0,0,5,2,1
1.7729403303837596,-0.7696503405971107,2,0,2,1,2
-7.220200385323365,1.791292773061143,0,0,1,2,1
-0.7704957874612353,1.066495258654672,2,0,1,1,2
-7.345437537003033,-0.5008043411135994,0,0,6,2,1
-5.323600580980344,-1.6816446878531297,0,0,6,2,1
12.737287932676846,-2.623158780427416,1,0,4,0,0
-2.45782798178046,1.265139618297531,2,0,2,2,1
-7.165098649582064,1.0259359510202055,0,0,6,2,1
-7.125387692785047,1.332272343927256,0,0,6,2,1
6.893707933443226,-2.085803070470732,1,0,4,0,0
17.23090056444177,3.177016531250445,1,0,1,0,0
-7.419435807518186,-2.161540852953677,0,0,6,2,1
2.846251316333513,0.5218848442065016,2,0,1,1,2
-2.0511110602840583,0.7634816711819838,2,0,8,1,2
7.836118265238323,0.6615890356282086,1,0,6,0,0
-3.325811707490874,-1.783956485015962,0,0,7,2,1
2.666916234726393,1.6800654952747809,2,0,2,1,0
-1.999747512745361,0.8556058721121285,2,0,1,1,2
1.802767631097776,0.541762999536096,2,0,1,1,2
-3.394349496952674,0.1189922142147055,0,0,2,2,1
-7.243528294608425,-1.4130839717065595,0,0,5,2,1
-2.203780954459001,-2.4006738876959965,2,0,7,1,1
-6.165911918853436,-0.0939304786171595,0,0,8,2,1
-7.183914025520703,2.157525990747017,0,0,2,2,1
-4.193214660186875,-2.363564652418066,0,0,6,2,1
16.893275995227263,-1.866121401524608,1,0,6,0,0
-2.0344512527956957,1.7430412995934552,2,0,2,1,2
-4.274188528939218,3.540646424572667,0,0,2,2,1
-7.312586541659072,-2.481092775505754,0,0,4,2,1
-1.331936275702879,-0.3496842012247909,2,0,2,1,2
-7.419572488122099,-0.6796471485553124,0,0,6,2,1
-6.170548576772115,-2.0090466440305,0,0,7,2,1
5.811386345495798,-1.7020119115339667,1,0,4,0,0
-0.2445597581763996,-4.016408500625407,2,0,6,1,2
-7.0000036744849226,0.0739733368814632,0,0,1,2,1
-1.2822409059445636,1.123931108340931,2,0,2,1,2
-2.284958911586066,0.9019677424381656,2,0,8,1,2
-3.401075105342493,-1.5519808932208123,0,0,4,2,1
-2.334752139350317,-0.7491495768773764,2,0,2,1,1
4.853796061934252,-0.0062293222792821,2,0,2,1,0
9.995766406179104,1.3212796942097915,1,0,6,0,0
9.897907285133076,-1.226421137131467,1,0,1,0,0
-1.27014200114857,-1.236989518024766,2,0,6,1,2
2.814197920387068,-0.4706420623393486,2,0,6,1,2
-6.113658302925936,0.7830011595016972,0,0,7,2,1
